School name,Country,Intl GPA,US GPA,Tier
Indian Institute of Technology Roorkee,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
Indian Institute of Technology Ropar,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier I College
"Indian Institute of Technology, Kharagpur",India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier III College
"Indian Institute of Technology, Madras",India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0,Tier III College
Indian School of Mines,India,10/9/8/7/6/5,4.0/3.6/3.3/3.0/2.3/2.0,Tier III College
Institute of Chemical Technology,India,10/9/8/7/6.5,4.0/3.6/3.0/2.5/2.0,Tier III College
Jain University,India,10/7.5/7/6.5/6/5.5,4.0/3.6/3.3/3.0/2.3/2.0,Tier III College
Jawaharlal Nehru Engineering College,India,100/66/60/50,4.0/3.6/3.0/2.0,Tier III College
Jaypee Institute of Information Technology,India,10/9/8/7/6/5,4.0/3.6/3.3/3.0/2.3/2.0,Tier III College
JSS Science and Technology University,India,10/7.75/6.75/5,4.0/3.6/3.0/2.0,Tier III College
Kalinga Institute of Industrial Technology,India,10/9/8/7/6/5,4.0/3.7/3.3/3.0/2.0/1.0,Tier III College
Karunya University,India,10/8/7/6,4.0/3.6/3.0/2.0,Tier III College
KC College of Engineering and Management Studies and Research,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
KJ Somaiya College of Engineering,India,10/9/8/7/6/5,4.0/3.7/3.3/3.0/2.3/2.0,Tier III College
KJ Somaiya Institute of Engineering and Information Technology,India,100/60/50/40,4.0/3.6/3.0/2.0,Tier III College
KK Wagh Institute of Engineering Education and Research,India,100/66/60/55/50,4/3.6/3.0/2.7/2.0,Tier III College
Kumaraguru College of Technology,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
Lovely Professional University,India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0,Tier III College
Maharashtra State Board of Technical Education,India,100/75/60/45,4.0/3.6/3.0/2.0,Tier III College
"Malviya National Institute of Technology, Jaipur",India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0,Tier III College
Manipal Institute of Technology,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
Manipal University,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
"Maulana Abul Kalam Azad University of Technology, West Bengal",India,10/8/7/6,4.0/3.6/3.0/2.0,Tier III College
Maulana Azad National Institute of Technology,India,10/8/7/6/5,4.0/3.6/3.3/3.0/2.0,Tier III College
Motilal Nehru National Institute of Technology,India,10/9/8/7/6,4.0/3.7/3.3/3.0/2.0,Tier III College
National Institute of Technology,India,10/8.5/6.5,4.0/3.6/3.0,Tier III College
National Institute of Technology Calicut,India,10/8/6.5/5,4.0/3.6/3.0/2.0,Tier III College
National Institute of Technology Durgapur,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
National Institute of Technology Goa,India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0,Tier II College
National Institute of Technology Hamirpur,India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0,Tier III College
